raw_text,cleaned_text,domain,sentiment,intensity,intensity_level
有把脚崴了。。。 大馒头[泪],有把脚崴了 大馒头 泪,WEIBO,0,1.8,2
刚朵拉或者游泳！//@梦岛花静开:三亚版的威尼斯嘛？明天我怎么办呢[泪] // @红叶黑 ：转发,刚朵拉或者游泳 转发,WEIBO,0,3.6,4
老徐总是这么直接又直白 哈哈//@徐三石：第六条是重点，搞到最后还是房地产[嘻嘻],老徐总是这么直接又直白 哈哈,WEIBO,1,0.5,0
酒店就是离市区太远。离新国际展会也不近。 我的客人还算满意。,酒店就是离市区太远 离新国际展会也不近 我的客人还算满意,ChnSentiCorp,1,3.1,3
中国人都看不懂，翻译成英文和法语，西班牙语，俄语，日语，韩语，拉丁语，谁看的懂呢？？ 费解？？？！奖金应该给翻译！荣誉勋章自己戴上！大家要学习中国历史啊！[晕][晕][围观][围观][围观][围观][围观][围观]//@头条新闻:无,中国人都看不懂 翻译成英文和法语 西班牙语 俄语 日语 韩语 拉丁语 谁看的懂呢 费解 奖金应该给翻译 荣誉勋章自己戴上 大家要学习中国历史啊 晕 晕 围观 围观 围观 围观 围观 围观,WEIBO,0,0.7,1
以前经常参与好多有奖竞赛，就经常遇到有关数独的题。前一段看到一部香港的新片，其中的主教在坐公交车的时候，就在那里答数独题，觉得也是一种境界。工作之余闲来无事，突发灵感在当当定了四本数独的书，家里床头一本、车里一本、办公室一本，手里余下这本也已经有主了——归我儿子了。开发智力，锻炼逻辑、推理能力！随手带一本，在路上、在家里、在工作之余、在任何闲暇时段尽情娱乐吧！,以前经常参与好多有奖竞赛 就经常遇到有关数独的题 前一段看到一部香港的新片 其中的主教在坐公交车的时候 就在那里答数独题 觉得也是一种境界 工作之余闲来无事 突发灵感在当当定了四本数独的书 家里床头一本 车里一本 办公室一本 手里余下这本也已经有主了 归我儿子了 开发智力 锻炼逻辑 推理能力 随手带一本 在路上 在家里 在工作之余 在任何闲暇时段尽情娱乐吧,ChnSentiCorp,1,1.3,1
经常吃，味觉无法识别了！,经常吃 味觉无法识别了,WAIMAI,0,0.7,1
@林阿楠 只能说侬太有柴了！！哈哈哈哈~~~[哈哈],只能说侬太有柴了 哈哈哈哈 哈哈,WEIBO,1,2.2,2
我要特别辣，然后一点辣椒都没给我放，让我这种无辣不欢的人怎么吃的下去？咸鸭蛋也不咸！,我要特别辣 然后一点辣椒都没给我放 让我这种无辣不欢的人怎么吃的下去 咸鸭蛋也不咸,WAIMAI,0,5.0,5
"神速,惊呆啦",神速 惊呆啦,WAIMAI,1,3.1,3
那我的听听奥~[鼓掌]//@付洋Kenny:亲们快打开87.6北京文艺广播，＜吃喝玩乐大搜索！开车的朋友注意安全哦[心][ok]说说西班牙美食峰会的事[做鬼脸]@西班牙国家旅游局 @FangfangTeresa,那我的听听奥 鼓掌,WEIBO,1,0.5,0
生日快乐[嘻嘻][嘻嘻],生日快乐 嘻嘻 嘻嘻,WEIBO,1,0.0,0
活动办得不错嘛#CSRS电子竞技联赛#很热闹的场面[鼓掌],活动办得不错嘛很热闹的场面 鼓掌,WEIBO,1,3.7,4
东西好，对川人不合口味,东西好 对川人不合口味,WAIMAI,1,5.0,5
[bm可爱]//@汉拿山集团: 看出来了，想吃肉的节奏[嘻嘻][嘻嘻]好丰盛！,bm可爱 看出来了 想吃肉的节奏 嘻嘻 嘻嘻 好丰盛,WEIBO,1,4.1,4
你是跑到对面山顶上拍的么[嘻嘻],你是跑到对面山顶上拍的么 嘻嘻,WEIBO,1,0.0,0
好吃得不行！,好吃得不行,WAIMAI,1,0.1,0
这个摄像，要多一个机位就好了。[嘻嘻],这个摄像 要多一个机位就好了 嘻嘻,WEIBO,1,1.7,1
老婆饼里有老婆就成人肉包子黑店了[哈哈],老婆饼里有老婆就成人肉包子黑店了 哈哈,WEIBO,1,5.0,5
"回复 @快乐的Dowson:靠！现场乱套了... [嘻嘻] //@快乐的Dowson:加油金隅！只差8分，第4节决战马上开始！ //@赵洪春-不瘦: 现在各个队都在研究北京队的打法,战术陈旧,只要强行突破内线,封锁外线.]北京就没辙, //@快乐的Dowson: 我靠！辽宁太顺了吧，怎么打都进球！[神马]",回复 嘻嘻 现在各个队都在研究北京队的打法 战术陈旧 只要强行突破内线 封锁外线 北京就没辙 我靠 辽宁太顺了吧 怎么打都进球 神马,WEIBO,1,4.1,3
"全键盘,键盘膜不容易找,呵呵 发热量蛮厉害的; 其他还在尝试. 摄像头应该200万像素的.这个成本不高的",全键盘 键盘膜不容易找 呵呵 发热量蛮厉害的 其他还在尝试 摄像头应该200万像素的 这个成本不高的,ChnSentiCorp,0,0.1,0
性价比较高。服务态度也还行。房间小点。比较难能可贵的是，在火车站附近的宾馆晚上居然都没有骚扰电话！值得表扬！早餐相对简单，一般话。,性价比较高 服务态度也还行 房间小点 比较难能可贵的是 在火车站附近的宾馆晚上居然都没有骚扰电话 值得表扬 早餐相对简单 一般话,ChnSentiCorp,1,3.5,3
举杯！//@有报天天读:感?！[鼓掌] //@江红霄://@小雨WZ: 谢主龙恩……//@凌通社_V有容奶大:皇恩皓荡 //@于国富律师:感谢党，感谢国税总局，好感动！[泪],举杯 谢主龙恩,WEIBO,1,1.7,2
味道巨难吃，肉太肥了，吃不下去,味道巨难吃 肉太肥了 吃不下去,WAIMAI,0,3.5,0
[怒]最近帝都很不太平啊[哼]大家提高警惕[生病],怒 最近帝都很不太平啊 哼 大家提高警惕 生病,WEIBO,0,4.1,4
谢谢大家支持！！有好多好多话想和粉丝们说呢[泪],谢谢大家支持 有好多好多话想和粉丝们说呢 泪,WEIBO,0,5.0,5
怎么读《论语》，是于丹自己的事；这么读《论语》，是中国历史的过错；这样说《论语》，就是于丹的罪恶了。,怎么读 论语 是于丹自己的事 这么读 论语 是中国历史的过错 这样说 论语 就是于丹的罪恶了,ChnSentiCorp,0,1.6,2
