raw_text,cleaned_text,domain,sentiment,intensity,intensity_level
[泪][泪][泪]@小佳佳Song,泪 泪 泪,WEIBO,0,5.0,5
头痛[失望][可怜]！就吃＂散利痛＂[生病][生病]，今天已经是联系第三天了[抓狂][抓狂]，奇怪的是每天头疼的时间比次日提早一小时左右[思考][思考]！这样的状况与几年前一样！难道真的是2012了吗！[黑线][黑线],头痛 失望 可怜 就吃 散利痛 生病 生病 今天已经是联系第三天了 抓狂 抓狂 奇怪的是每天头疼的时间比次日提早一小时左右 思考 思考 这样的状况与几年前一样 难道真的是2012了吗 黑线 黑线,WEIBO,0,5.0,5
[蜡烛][蜡烛][蜡烛]//@中大pqing: 有情有义[蜡烛] //@peng树挺:[蜡烛][蜡烛][蜡烛] //@kangmeikangmei:[蜡烛][蜡烛][蜡烛][泪][泪][泪],蜡烛 蜡烛 蜡烛 有情有义 蜡烛,WEIBO,0,4.3,4
等了两个多小时，电话催了3次，结果还是没送到，极度不靠谱,等了两个多小时 电话催了3次 结果还是没送到 极度不靠谱,WAIMAI,0,5.0,5
是一本我和女儿共享的小书，内容是原版的精缩，但是完整且有趣，女儿还小，如果只是读文字她还不明白其中的含义，并且容易开小差呢。所以，这本书的优点在于有大量的插图，可以利用插图给宝宝讲述，效果不错呢，只是用了1元多钱就可以享受美妙的故事和亲子的时刻，是不是物超所值呢？我和女儿都是拇指姑娘的忠实书迷，2这套的其他图书也统统买下，闲了细读，其乐融融。,是一本我和女儿共享的小书 内容是原版的精缩 但是完整且有趣 女儿还小 如果只是读文字她还不明白其中的含义 并且容易开小差呢 所以 这本书的优点在于有大量的插图 可以利用插图给宝宝讲述 效果不错呢 只是用了1元多钱就可以享受美妙的故事和亲子的时刻 是不是物超所值呢 我和女儿都是拇指姑娘的忠实书迷 2这套的其他图书也统统买下 闲了细读 其乐融融,ChnSentiCorp,1,5.0,5
"我只能给零分,因为不能给负分,不然就是负亿万分,自己做错不愿意承担就指责别人,送错饺子不知自己反省还责怪用户,味道再好这种服务还能怎么样,懒得和你多说,就这一次,绝不再来,百度外卖,九品金饺,永不再用",我只能给零分 因为不能给负分 不然就是负亿万分 自己做错不愿意承担就指责别人 送错饺子不知自己反省还责怪用户 味道再好这种服务还能怎么样 懒得和你多说 就这一次 绝不再来 百度外卖 九品金饺 永不再用,WAIMAI,0,4.6,5
等我不喂奶了 我要拔牙，纹身，喝酒，趴着，化妆，喷香水，喝可乐，喝咖啡， 吃巧克力，吃蛋糕，吃油炸的，吃麦当劳，吃有防腐剂；添加剂的东西，最重要的是我想睡个整觉[泪]@霍霍要加油,等我不喂奶了 我要拔牙 纹身 喝酒 趴着 化妆 喷香水 喝可乐 喝咖啡 吃巧克力 吃蛋糕 吃油炸的 吃麦当劳 吃有防腐剂 添加剂的东西 最重要的是我想睡个整觉 泪,WEIBO,0,0.6,1
节操、节操[哼] //@小户行:小石榴啊，你终于有了、有了、有、、了、、、 //@石榴小院:#石榴有床位啦#这次是女生，三人间床位三张[哈哈],节操 节操 哼,WEIBO,1,3.0,3
没有系统这个不好，自己装挺费时间的，还有显卡跟摄像头的驱动两有问题！显卡得装两遍不然什么Direct3D什么的启动不了！,没有系统这个不好 自己装挺费时间的 还有显卡跟摄像头的驱动两有问题 显卡得装两遍不然什么Direct3D什么的启动不了,ChnSentiCorp,0,5.0,5
"加了份奶油,送过来的时候奶油已经化得无影无踪了",加了份奶油 送过来的时候奶油已经化得无影无踪了,WAIMAI,0,0.9,1
配送超级慢，垃圾！配送超级慢，垃圾！,配送超级慢 垃圾 配送超级慢 垃圾,WAIMAI,0,1.7,2
吃不饱，量太少,吃不饱 量太少,WAIMAI,0,3.7,4
晚上一定要补上[哈哈]//@三摩地帮主:我吃的馒头[泪],晚上一定要补上 哈哈,WEIBO,0,2.3,2
